index_,en,es,ca
page.index.about_a,About The Project,Sobre el proyecto,Sobre el projecte
page.index.privacy_a,Privacy Policy,Politica de pivacidad,Política de privacitat
page.index.btn_login,@:w.login,@:w.login,@:w.login
page.index.btn_register,@:w.register,@:w.register,@:w.register
page.domain.create_entry_dialog_title,Create an new entry,Crear una nueva contribución,Crear una nova contribució/jo posaria entrada
page.about.0.h2,Funding,Financiación,Finançament
page.about.0.p.0,This application is funded primarily by the LICCI and LICCION projects of the European Research Council (Grant Agreement Nr. FP7-771056-LICCI and ERC-2019-PoC-899209).,Esta aplicación está financiada fundamentalmente por los proyectos LICCI e ICCION del European Research Council (Nr. FP7-771056-LICCI y ERC-2019-PoC-899209).,Aquesta aplicació està finançada fonamentalment pels projectes LICCI i ICCION de l'European Research Council (Nr. FP7-771056-LICCI i ERC-2019-PoC-899.209).
page.about.0.p.1,"This application has also received funding from the European Union’s Horizon 2020 research and innovation programme. The JRC, or as the case may be the European Commission, shall not be held liable for any direct or indirect, incidental, consequential or other damages, including but not limited to the loss of data, loss of profits, or any other financial loss arising from the use of this application, or inability to use it, even if the JRC is notified of the possibility of such damages.","Esta aplicación también recibió fondos del programa de investigación e innovación Horizon 2020 de la Unión Europea. El JRC, o según sea el caso, la Comisión Europea, no será responsable de ningún daño directo o indirecto, incidental, consecuente u otro daño, que incluye, entre otros, la pérdida de datos, la pérdida de beneficios o cualquier otra pérdida financiera derivada del uso de esta aplicación, o la imposibilidad de usarla, incluso si se notifica al JRC sobre la posibilidad de tales daños.","Aquesta aplicació també va rebre fons del programa de recerca i innovació Horizon 2020 de la Unió Europea. El JRC, o segons sigui el cas, la Comissió Europea, no serà responsable de cap dany directe o indirecte, incidental, conseqüent o un altre mal, que inclou, entre d'altres, la pèrdua de dades, la pèrdua de beneficis o qualsevol altra pèrdua financera derivada de l'ús d'aquesta aplicació, o la impossibilitat d'utilitzar-la, fins i tot si es notifica al JRC sobre la possibilitat d'aquests danys."
page.about.1.h2,Terms of use,Condiciones de uso,Condicions d'ús
page.about.1.p.0,Registration in {{platform_title}} implies the express free informed consent of the user or its carer/guardian to participate and transfer their personal data and traditional knowledge to the platform under the following conditions:,Registerarse en {{platform_title}} implica que el usuario o su tutor acepta de manera libre e informada la transferencia de sus datos a la plataforma bajo las siguientes condiciones:,Registerar-se a {{platform_title}} implica que l'usuari o el seu tutor accepta de manera lliure i informada la transferència de les seves dades a la plataforma sota les següents condicions:
