"index_","en","es","ca"
"actor.register_ok","Registration successful. Check your email inbox","Registro correcto. Comprueba tu correo electrónico","Registre correcte. Comprova el teu correu electrònic"
"actor.login_ok","Login successful","Inicio de sesión correcto","Inici de sessió correcte"
"actor.wrong_credentials","wrong credentials","Credenciales incorrectas","Credencials incorrectes"
"actor.unregister_ok","You successfully unregistered","Cancelación de registro correcto","Cancel·lació de registre correcte"
"actor.email_change","Email successfully changed","Cambio de correo electrónico correcto","Canvi de correu electrònic correcte"
"actor.password_change","Password successfully changed","La contraseña se ha cambiado correctamente","La contrasenya s'ha canviat correctament"
"actor.account_not_found","We couldn't find an account for that information","No hemos encontrado ninguna cuenta con esta información","No hem trobat cap compte per a aquesta informació"
"actor.verification_incomplete","You need to verify your email address before logging in","Necesitas verificar el correo electrónico antes de poder iniciar sesión","Cal que verifiquis el correu electrònic abans d’iniciar la sessió"
"actor.logout_ok","Logout successful","Se ha cerrado la sesión correctamente","S'ha tancat la sessió correctament"
"actor.image_upload","Image uploaded","Imágen subida","Imatge penjada"
"actor.role_change","Role changed","El rol ha cambiado","El rol ha canviat"
"actor.wrong_username","Wrong username","Nombre de usuario/a incorrecto","Nom d'usuari/a incorrecte"
"actor.verification_expired","Verification code expired","El código de verificación ha caducado","El codi de verificació ha caducat"
"actor.verification_wrong","Wrong validation code","Código de validación incorrecto","Codi de validació incorrecte"
"actor.verified","Email address verified","Correo electrónico verificado","Correu electrònic verificat"
"actor.already_verified","Email address is already verified","La dirección de correo electrónico ya estaba verificada","L'adreça de correu electrònic ja estava verificada"
"actor.email_sent","Email sent","Email enviado","Email enviat"
"actor.email_not_sent","Email was not sent","El correo electrónico no se ha enviado","El correu electrònic no s'ha enviat"
"actor.wrong_content_type","wrong content-type","tipo de contenido incorrecto","tipus de contingut incorrecte"
"actor.email_deactivated","Email is deactivated. Cannot send email","El correo electrónico está desactivado. No se puede enviar el correo electrónico","El correu electrònic està desactivat. No es pot enviar el correu electrònic"
"actor.code_expired","Reset code expired","Código de reestablecimiento caducado","Codi de restabliment caducat"
"actor.wrong_code","Wrong code","Código incorrecto","Codi incorrecte"
"actor.password_reset","Password reset","Reestablecer contraseña","Restablir contrasenya"
"actor.api.already_taken","Already taken username or email addresss.","El nombre de usuario/a o contraseña ya está en uso","El nom d'usuari/a o adreces de correu electrònic ja està en ús."
"actor.s.name_taken","Username is already taken","El nombre de usuario/a ya está en uso","El nom d'usuari ja està en ús"
"actor.s.email_taken","Email is already taken","Este correo electrónico ya está en uso","Aquesta adreça ja està en ús"
"language.table_update","Translation updated","Se ha actualizado la traducción","S'ha actualitzat la traducció"
"actor.profile_updated","Profile updated","Perfil actualizado","Perfil actualitzat"
"entry.submitted","Entry submitted","Contribución enviada","Contribució enviada"
"entry.updated","Entry updated","Contribución actualizada","Contribució actualitzada"
"entry.review_accepted","Entry accepted","Contribución aceptada","Contribució acceptada"
"entry.review_rejected","Entry rejected","Contribución rechazada","Contribució rebutjada"
"entry.delete_ok","Entry deleted","Se ha eliminado la contribución","S'ha suprimit la contribució"
"entry.could_not_fetch","Could not fetch entry","No se ha podido obtener la contribución","No s'ha pogut obtenir la contribució"
"messages.language_added","language added","idioma añadido","idioma afegit"
"messages.submitted","Messages submitted","Mensajes enviados","Missatges enviats"
"api.error.not_authorized","Not authorized","No está autorizado","No està autoritzat"
